rank,stim_current,input_tau_e,input_adapt_inc,input_std_u,input_std_tau_rec,original_mi,original_r20,mean_rate_hz,spike_bsa_r_20ms,mi_5ms_q4,mi_5ms_q8,mi_5ms_q16,mi_5ms_q32,mi_10ms_q4,mi_10ms_q8,mi_10ms_q16,mi_10ms_q32,mi_20ms_q4,mi_20ms_q8,mi_20ms_q16,mi_20ms_q32,mi_50ms_q4,mi_50ms_q8,mi_50ms_q16,mi_50ms_q32
35,2.6827,0.31,0.0158,0.0000,0.0,1.1757,0.7912,117.51,0.8269,0.6621,0.9938,1.3405,1.7792,0.7605,1.1046,1.4211,1.8208,0.8252,1.1760,1.4940,1.9147,0.9237,1.2905,1.6396,2.1806
36,2.6827,0.57,0.1581,0.0000,0.0,1.1756,0.8144,117.86,0.8445,0.6612,0.9854,1.3312,1.7631,0.7520,1.0845,1.4000,1.7949,0.8282,1.1721,1.4812,1.8933,0.9511,1.3283,1.6856,2.2275
37,5.0000,0.31,0.5000,0.0000,0.0,1.1752,0.8010,115.36,0.8306,0.6412,0.9645,1.3070,1.7483,0.7358,1.0697,1.3827,1.7806,0.8103,1.1584,1.4719,1.8849,0.9220,1.2874,1.6378,2.1802
38,5.0000,0.31,0.0000,0.0000,0.0,1.1750,0.7811,120.04,0.8176,0.6704,1.0061,1.3552,1.7870,0.7640,1.1147,1.4347,1.8368,0.8335,1.1877,1.5099,1.9387,0.9311,1.3056,1.6664,2.2193
39,2.6827,0.57,0.0000,0.0000,0.0,1.1750,0.7750,122.22,0.8105,0.6790,1.0173,1.3663,1.7943,0.7655,1.1160,1.4368,1.8418,0.8204,1.1751,1.4923,1.9153,0.9168,1.2862,1.6420,2.1962
40,1.0000,1.05,0.0158,0.0000,0.0,1.1748,0.7828,121.81,0.8186,0.6774,1.0140,1.3604,1.7894,0.7601,1.1063,1.4257,1.8299,0.8058,1.1550,1.4661,1.8887,0.9128,1.2820,1.6382,2.1931
41,5.0000,0.31,0.0050,0.0000,0.0,1.1739,0.7814,119.93,0.8184,0.6698,1.0053,1.3546,1.7866,0.7633,1.1120,1.4309,1.8308,0.8320,1.1863,1.5082,1.9339,0.9327,1.3066,1.6655,2.2164
42,1.9307,0.57,0.1581,0.0000,0.0,1.1734,0.8380,114.31,0.8625,0.6387,0.9506,1.2900,1.7276,0.7316,1.0457,1.3533,1.7454,0.8352,1.1737,1.4909,1.9050,0.9507,1.3190,1.6635,2.2009
43,1.3895,0.31,0.0158,0.0000,0.0,1.1728,0.8156,112.67,0.8451,0.6269,0.9427,1.2818,1.7225,0.7314,1.0568,1.3736,1.7744,0.8273,1.1733,1.4904,1.9089,0.9233,1.2900,1.6370,2.1795
44,3.7276,0.31,0.0500,0.0000,0.0,1.1727,0.7912,118.08,0.8259,0.6634,0.9959,1.3439,1.7816,0.7573,1.1017,1.4151,1.8110,0.8227,1.1735,1.4894,1.9074,0.9231,1.2885,1.6351,2.1815
45,0.7197,1.05,0.0050,0.0000,0.0,1.1724,0.7852,120.54,0.8215,0.6722,1.0079,1.3552,1.7853,0.7591,1.1086,1.4300,1.8348,0.8229,1.1792,1.5001,1.9271,0.9308,1.3047,1.6631,2.2125
46,0.3728,1.05,0.0050,0.0000,0.0,1.1716,0.8141,114.37,0.8481,0.6208,0.9396,1.2787,1.7158,0.7320,1.0661,1.3847,1.7854,0.8073,1.1433,1.4575,1.8733,0.9354,1.3096,1.6654,2.2092
47,2.6827,0.57,0.0050,0.0000,0.0,1.1707,0.7764,122.01,0.8124,0.6785,1.0165,1.3653,1.7927,0.7652,1.1144,1.4340,1.8377,0.8244,1.1810,1.5004,1.9257,0.9186,1.2880,1.6458,2.2003
48,1.0000,0.31,0.0000,0.0000,0.0,1.1706,0.8084,111.77,0.8419,0.6281,0.9484,1.2890,1.7348,0.7362,1.0704,1.3897,1.7907,0.8318,1.1806,1.5029,1.9280,0.9465,1.3196,1.6761,2.2174
49,5.0000,0.31,0.1581,0.0000,0.0,1.1704,0.7937,117.76,0.8266,0.6627,0.9948,1.3415,1.7805,0.7587,1.1035,1.4184,1.8192,0.8228,1.1755,1.4930,1.9132,0.9231,1.2885,1.6354,2.1785
50,2.6827,0.57,0.0158,0.0000,0.0,1.1704,0.7791,121.65,0.8158,0.6772,1.0148,1.3634,1.7916,0.7681,1.1208,1.4437,1.8469,0.8324,1.1926,1.5149,1.9410,0.9212,1.2915,1.6506,2.2010
