stim_current,input_tau_e,input_adapt_inc,input_std_u,input_std_tau_rec,mean_rate_hz,mean_isi_cv,mean_refrac_frac,mean_mod_depth,spike_bsa_r_5ms,spike_bsa_r_10ms,spike_bsa_r_20ms,spike_bsa_r_50ms,spike_bsa_r_100ms,mean_burst_frac,mean_fano_factor,mean_temporal_sparseness,mean_dynamic_range,mean_mi_bits,n_active_neurons,composite_score
0.0100,0.17,0.5000,0.0000,0.0,0.76,0.0000,0.0000,0.3333,0.0438,0.0597,0.0901,0.1442,0.1888,0.0000,0.2925,0.3333,0.0000,0.0035,0.4,0.0000
0.0100,0.17,0.5000,0.1000,30.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,0.5000,0.1500,80.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,0.5000,0.2500,50.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,0.5000,0.3500,120.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,1.5811,0.0000,0.0,0.76,0.0000,0.0000,0.3333,0.0442,0.0587,0.0903,0.1442,0.1888,0.0000,0.2925,0.3333,0.0000,0.0035,0.4,0.0000
0.0100,0.17,1.5811,0.1000,30.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,1.5811,0.1500,80.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,1.5811,0.2500,50.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,1.5811,0.3500,120.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,5.0000,0.0000,0.0,0.76,0.0000,0.0000,0.3333,0.0435,0.0596,0.0904,0.1414,0.1732,0.0000,0.2925,0.3333,0.0000,0.0036,0.4,0.0000
0.0100,0.17,5.0000,0.1000,30.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,5.0000,0.1500,80.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,5.0000,0.2500,50.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.17,5.0000,0.3500,120.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.31,0.0000,0.0000,0.0,9.98,0.2914,0.0000,1.0000,0.2090,0.3064,0.4590,0.6342,0.4813,0.0000,0.8181,0.8458,0.0125,0.0425,8.8,0.0000
0.0100,0.31,0.0000,0.1000,30.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.31,0.0000,0.1500,80.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.31,0.0000,0.2500,50.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.31,0.0000,0.3500,120.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.31,0.0050,0.0000,0.0,6.21,0.2896,0.0000,1.0000,0.1786,0.2540,0.3680,0.5240,0.4020,0.0000,0.8235,0.9243,0.0000,0.0342,8.8,0.0000
0.0100,0.31,0.0050,0.1000,30.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
0.0100,0.31,0.0050,0.1500,80.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0000
