time_ms,neuron_id,zone
64.3000,16,reservoir
64.3000,287,input
64.3000,471,reservoir
64.3000,687,reservoir
64.4000,177,input
64.4000,346,input
64.4000,526,input
64.4000,572,reservoir
64.5000,208,reservoir
64.5000,462,input
64.5000,630,input
64.6000,360,reservoir
64.6000,496,reservoir
64.7000,23,input
64.7000,27,input
64.7000,29,reservoir
64.7000,509,input
64.8000,514,reservoir
64.8000,607,reservoir
64.9000,175,reservoir
65.0000,45,reservoir
65.0000,112,reservoir
65.0000,250,reservoir
65.0000,420,reservoir
65.0000,648,reservoir
65.2000,206,reservoir
65.2000,212,reservoir
65.2000,213,reservoir
65.2000,244,reservoir
65.2000,329,reservoir
65.3000,122,reservoir
65.3000,409,reservoir
65.3000,438,reservoir
65.4000,116,reservoir
65.4000,477,input
65.4000,492,reservoir
65.4000,562,input
65.5000,18,input
65.5000,353,reservoir
65.5000,599,reservoir
65.5000,636,reservoir
65.6000,26,input
65.6000,265,input
65.6000,316,reservoir
65.7000,72,input
65.7000,75,reservoir
65.8000,123,input
65.8000,273,reservoir
65.9000,345,input
65.9000,385,input
66.0000,170,input
66.0000,604,input
66.1000,96,input
66.1000,489,reservoir
66.3000,457,input
66.3000,579,input
66.4000,391,reservoir
66.5000,349,input
66.5000,388,input
66.5000,621,reservoir
66.6000,140,reservoir
66.6000,233,reservoir
66.6000,247,reservoir
66.7000,340,reservoir
66.7000,676,reservoir
66.7000,680,reservoir
66.8000,1,reservoir
66.8000,243,reservoir
66.8000,253,reservoir
66.8000,493,input
66.8000,565,reservoir
66.8000,671,reservoir
66.9000,475,reservoir
66.9000,659,reservoir
67.0000,257,reservoir
67.0000,289,input
67.0000,491,reservoir
67.0000,531,reservoir
67.1000,83,reservoir
67.1000,363,input
67.1000,634,input
67.1000,706,reservoir
67.2000,258,reservoir
67.2000,568,reservoir
67.3000,62,input
67.3000,271,reservoir
67.3000,308,input
67.3000,415,input
67.3000,714,reservoir
67.4000,360,reservoir
67.5000,649,reservoir
67.6000,372,input
67.7000,467,input
67.7000,607,reservoir
67.8000,73,reservoir
67.8000,325,input
67.8000,466,input
67.8000,545,reservoir
67.9000,397,input
67.9000,498,reservoir
67.9000,592,input
67.9000,681,reservoir
68.0000,390,reservoir
68.1000,192,input
68.1000,465,reservoir
68.2000,75,reservoir
68.2000,175,reservoir
68.2000,478,reservoir
68.2000,578,reservoir
68.2000,707,input
68.3000,45,reservoir
68.3000,98,input
68.3000,250,reservoir
68.3000,293,input
68.4000,559,reservoir
68.5000,32,reservoir
68.5000,342,reservoir
68.5000,552,reservoir
68.6000,297,reservoir
68.6000,353,reservoir
68.6000,406,reservoir
68.6000,440,reservoir
68.7000,3,reservoir
68.7000,97,reservoir
68.7000,147,input
68.7000,324,reservoir
68.7000,395,input
68.8000,86,reservoir
68.8000,216,reservoir
68.8000,685,input
68.9000,85,input
68.9000,208,reservoir
68.9000,213,reservoir
68.9000,274,reservoir
68.9000,285,input
69.0000,407,reservoir
69.0000,621,reservoir
69.1000,24,reservoir
69.1000,426,reservoir
69.2000,253,reservoir
69.3000,497,reservoir
69.4000,101,reservoir
69.4000,112,reservoir
69.5000,16,reservoir
69.5000,490,input
69.5000,687,reservoir
69.6000,29,reservoir
69.6000,228,reservoir
69.7000,517,input
69.8000,379,input
70.2000,23,input
70.2000,360,reservoir
70.2000,462,input
70.3000,313,reservoir
70.4000,73,reservoir
70.4000,102,input
70.4000,520,reservoir
70.5000,722,input
70.7000,27,input
70.7000,470,input
70.7000,509,input
70.8000,305,input
71.0000,18,input
71.0000,90,input
71.0000,562,input
71.1000,160,input
71.1000,241,reservoir
71.1000,342,reservoir
71.1000,607,reservoir
71.1000,617,reservoir
71.2000,58,input
71.2000,265,input
71.2000,346,input
71.3000,2,reservoir
71.3000,273,reservoir
71.3000,298,input
71.3000,531,reservoir
71.3000,632,reservoir
71.4000,54,reservoir
71.4000,599,reservoir
71.5000,22,reservoir
71.5000,175,reservoir
71.5000,180,reservoir
71.5000,182,reservoir
71.5000,526,input
71.6000,136,input
71.7000,72,input
71.7000,75,reservoir
71.7000,84,input
71.7000,409,reservoir
71.7000,496,reservoir
71.8000,142,reservoir
71.8000,624,input
71.9000,83,reservoir
71.9000,212,reservoir
71.9000,215,reservoir
71.9000,240,input
71.9000,314,reservoir
71.9000,347,reservoir
71.9000,351,input
71.9000,515,reservoir
71.9000,614,reservoir
72.0000,174,reservoir
72.0000,233,reservoir
72.0000,258,reservoir
72.0000,400,reservoir
72.0000,422,input
72.0000,435,reservoir
72.0000,438,reservoir
72.0000,446,input
72.0000,471,reservoir
72.1000,10,input
72.1000,96,input
72.1000,457,input
72.1000,701,input
72.2000,191,reservoir
72.2000,213,reservoir
72.2000,420,reservoir
72.2000,455,reservoir
72.2000,635,reservoir
72.3000,45,reservoir
72.3000,46,reservoir
72.3000,118,input
72.3000,229,reservoir
72.3000,549,reservoir
72.3000,706,reservoir
72.4000,26,input
72.4000,385,input
72.4000,398,input
72.4000,416,input
72.4000,559,reservoir
72.4000,568,reservoir
72.4000,619,input
72.5000,60,reservoir
72.5000,88,reservoir
72.5000,579,input
72.6000,9,reservoir
72.6000,151,reservoir
72.6000,159,input
72.6000,307,reservoir
72.6000,339,reservoir
72.6000,365,reservoir
72.6000,726,reservoir
72.7000,244,reservoir
72.7000,621,reservoir
72.7000,636,reservoir
72.7000,676,reservoir
72.8000,1,reservoir
72.8000,39,reservoir
72.8000,177,input
72.8000,253,reservoir
72.8000,334,reservoir
72.8000,493,input
72.9000,163,reservoir
72.9000,374,reservoir
72.9000,475,reservoir
72.9000,535,input
72.9000,572,reservoir
72.9000,634,input
73.0000,62,input
73.0000,113,reservoir
73.0000,130,reservoir
73.0000,268,input
73.0000,271,reservoir
73.0000,287,input
73.0000,360,reservoir
73.0000,362,input
73.0000,437,reservoir
73.0000,467,input
73.0000,649,reservoir
73.1000,316,reservoir
73.1000,349,input
73.1000,491,reservoir
73.1000,659,reservoir
73.2000,3,reservoir
73.2000,218,input
73.2000,303,input
73.2000,391,reservoir
73.2000,477,input
73.2000,556,reservoir
73.2000,719,reservoir
73.3000,123,input
73.3000,133,reservoir
73.3000,144,input
73.3000,220,reservoir
73.3000,363,input
73.3000,602,input
73.3000,724,input
73.4000,73,reservoir
73.4000,122,reservoir
73.4000,329,reservoir
73.4000,407,reservoir
73.4000,415,input
73.4000,575,reservoir
73.4000,630,input
73.5000,89,input
73.5000,91,input
73.5000,170,input
73.5000,193,reservoir
73.5000,308,input
73.6000,250,reservoir
73.6000,289,input
73.6000,345,input
73.6000,354,reservoir
73.6000,388,input
73.6000,390,reservoir
73.6000,576,input
73.6000,615,input
73.7000,32,reservoir
73.7000,36,reservoir
73.7000,112,reservoir
73.7000,147,input
73.7000,243,reservoir
73.7000,492,reservoir
73.7000,648,reservoir
73.8000,34,reservoir
73.8000,85,input
73.8000,132,input
73.8000,588,input
73.9000,272,reservoir
73.9000,331,reservoir
73.9000,468,reservoir
74.0000,64,reservoir
74.0000,273,reservoir
74.0000,342,reservoir
74.0000,650,reservoir
74.1000,75,reservoir
74.1000,93,reservoir
74.1000,317,reservoir
74.1000,321,input
74.1000,480,reservoir
74.1000,498,reservoir
74.1000,565,reservoir
74.1000,677,reservoir
74.2000,74,reservoir
74.2000,216,reservoir
74.2000,293,input
74.2000,460,reservoir
74.2000,506,reservoir
74.2000,607,reservoir
74.3000,285,input
74.3000,344,reservoir
74.3000,497,reservoir
74.3000,508,reservoir
74.3000,599,reservoir
74.3000,604,input
74.4000,16,reservoir
74.4000,54,reservoir
74.4000,156,reservoir
74.4000,208,reservoir
74.4000,258,reservoir
74.4000,476,reservoir
74.4000,530,reservoir
74.4000,578,reservoir
74.4000,681,reservoir
74.4000,688,reservoir
74.5000,116,reservoir
74.5000,403,input
74.6000,22,reservoir
74.6000,192,input
74.6000,355,input
74.6000,372,input
74.6000,429,reservoir
74.6000,440,reservoir
74.6000,564,reservoir
74.6000,707,input
74.7000,553,input
74.7000,657,reservoir
74.8000,175,reservoir
74.8000,397,input
74.8000,496,reservoir
74.9000,140,reservoir
74.9000,158,reservoir
74.9000,174,reservoir
74.9000,233,reservoir
74.9000,687,reservoir
75.0000,490,input
75.0000,592,input
75.1000,244,reservoir
75.1000,621,reservoir
75.2000,213,reservoir
75.2000,253,reservoir
75.2000,307,reservoir
75.2000,340,reservoir
75.2000,552,reservoir
75.2000,684,reservoir
75.3000,151,reservoir
75.3000,531,reservoir
75.4000,395,input
75.4000,466,input
75.4000,502,input
75.5000,271,reservoir
75.6000,20,input
75.6000,23,input
75.7000,330,reservoir
75.7000,391,reservoir
75.7000,643,reservoir
75.8000,379,input
75.8000,462,input
75.8000,719,reservoir
75.9000,325,input
75.9000,516,input
76.0000,57,reservoir
76.0000,360,reservoir
76.0000,608,input
76.0000,632,reservoir
76.1000,29,reservoir
76.1000,45,reservoir
76.1000,649,reservoir
76.1000,714,reservoir
76.2000,515,reservoir
76.3000,243,reservoir
76.4000,407,reservoir
76.4000,451,reservoir
76.4000,562,input
76.4000,702,reservoir
76.5000,18,input
76.5000,216,reservoir
76.5000,250,reservoir
76.5000,272,reservoir
76.5000,559,reservoir
76.5000,700,reservoir
76.6000,75,reservoir
76.6000,676,reservoir
76.7000,27,input
76.7000,265,input
76.7000,273,reservoir
76.7000,291,reservoir
76.7000,509,input
76.7000,517,input
76.7000,685,input
76.9000,98,input
76.9000,274,reservoir
76.9000,607,reservoir
77.0000,102,input
77.0000,148,reservoir
77.0000,228,reservoir
77.0000,648,reservoir
77.2000,212,reservoir
77.2000,530,reservoir
77.3000,73,reservoir
77.3000,342,reservoir
77.3000,475,reservoir
77.3000,520,reservoir
77.3000,722,input
77.4000,305,input
77.5000,22,reservoir
77.5000,244,reservoir
77.5000,470,input
77.5000,621,reservoir
77.6000,72,input
77.6000,253,reservoir
77.6000,346,input
77.6000,457,input
77.6000,599,reservoir
77.7000,298,input
77.9000,96,input
78.0000,90,input
78.0000,271,reservoir
78.0000,409,reservoir
78.0000,706,reservoir
78.1000,175,reservoir
78.1000,526,input
78.2000,112,reservoir
78.2000,290,input
78.2000,612,input
78.3000,160,input
78.3000,701,input
78.4000,467,input
78.5000,564,reservoir
78.6000,385,input
78.6000,579,input
78.6000,634,input
78.7000,1,reservoir
78.7000,10,input
78.7000,62,input
78.7000,151,reservoir
78.7000,211,input
78.7000,213,reservoir
78.8000,85,input
78.8000,147,input
78.8000,240,input
78.8000,480,reservoir
78.9000,493,input
78.9000,568,reservoir
78.9000,624,input
78.9000,681,reservoir
79.0000,158,reservoir
79.0000,363,input
79.0000,398,input
79.0000,422,input
79.0000,491,reservoir
79.1000,26,input
79.2000,246,input
79.2000,416,input
79.2000,659,reservoir
79.3000,351,input
79.3000,531,reservoir
79.3000,549,reservoir
79.4000,16,reservoir
79.4000,49,reservoir
79.4000,208,reservoir
79.4000,360,reservoir
79.5000,130,reservoir
79.5000,191,reservoir
79.5000,258,reservoir
79.5000,347,reservoir
79.5000,349,input
79.5000,415,input
79.5000,497,reservoir
79.5000,515,reservoir
79.5000,619,input
79.5000,684,reservoir
79.6000,3,reservoir
79.6000,75,reservoir
79.6000,84,input
79.6000,250,reservoir
79.6000,308,input
79.6000,689,reservoir
79.6000,726,reservoir
79.7000,9,reservoir
79.7000,163,reservoir
79.7000,174,reservoir
79.7000,285,input
79.7000,446,input
79.7000,477,input
79.8000,39,reservoir
79.8000,46,reservoir
79.8000,58,input
79.8000,159,input
79.8000,177,input
79.8000,287,input
79.8000,359,reservoir
79.8000,534,reservoir
79.8000,614,reservoir
79.9000,162,reservoir
79.9000,244,reservoir
79.9000,268,input
79.9000,342,reservoir
79.9000,567,input
80.0000,136,input
80.0000,144,input
80.0000,170,input
80.0000,253,reservoir
80.0000,293,input
80.0000,552,reservoir
80.1000,88,reservoir
80.1000,113,reservoir
80.1000,123,input
80.1000,146,reservoir
80.1000,243,reservoir
80.1000,339,reservoir
80.1000,374,reservoir
80.1000,589,reservoir
80.2000,118,input
80.2000,220,reservoir
80.2000,289,input
80.3000,319,reservoir
80.3000,478,reservoir
80.4000,73,reservoir
80.4000,79,reservoir
80.4000,247,reservoir
80.4000,388,input
80.4000,498,reservoir
80.4000,602,input
80.4000,621,reservoir
80.4000,648,reservoir
80.4000,707,input
80.5000,83,reservoir
80.5000,91,input
80.5000,93,reservoir
80.5000,329,reservoir
80.5000,420,reservoir
80.5000,468,reservoir
80.5000,490,input
80.6000,186,reservoir
80.6000,206,reservoir
80.6000,228,reservoir
80.6000,565,reservoir
80.6000,657,reservoir
80.6000,702,reservoir
80.7000,218,input
80.7000,312,reservoir
80.7000,313,reservoir
80.7000,330,reservoir
80.7000,331,reservoir
80.7000,391,reservoir
80.7000,407,reservoir
80.7000,458,reservoir
80.7000,460,reservoir
80.7000,496,reservoir
80.7000,500,reservoir
80.7000,607,reservoir
80.7000,632,reservoir
80.7000,636,reservoir
80.7000,646,reservoir
80.7000,649,reservoir
80.7000,687,reservoir
80.8000,36,reservoir
80.8000,303,input
80.8000,307,reservoir
80.8000,440,reservoir
80.8000,545,reservoir
80.9000,29,reservoir
80.9000,64,reservoir
80.9000,273,reservoir
80.9000,564,reservoir
81.0000,23,input
81.1000,57,reservoir
81.1000,192,input
81.1000,233,reservoir
81.1000,271,reservoir
81.1000,677,reservoir
81.2000,61,reservoir
81.2000,345,input
81.2000,462,input
81.4000,151,reservoir
81.4000,175,reservoir
81.4000,615,input
81.5000,630,input
81.6000,213,reservoir
81.7000,321,input
81.7000,372,input
81.7000,379,input
81.7000,397,input
81.7000,523,reservoir
81.7000,562,input
81.7000,681,reservoir
81.8000,506,reservoir
81.8000,618,input
81.9000,395,input
81.9000,576,input
81.9000,592,input
82.0000,18,input
82.0000,292,input
82.0000,535,input
82.0000,604,input
82.1000,75,reservoir
82.1000,89,input
82.1000,265,input
82.2000,216,reservoir
82.3000,132,input
82.3000,243,reservoir
82.3000,244,reservoir
82.3000,409,reservoir
82.3000,475,reservoir
82.3000,572,reservoir
82.4000,253,reservoir
82.4000,688,reservoir
82.5000,324,reservoir
82.6000,27,input
82.6000,45,reservoir
82.6000,74,reservoir
82.6000,86,reservoir
82.6000,212,reservoir
82.6000,509,input
82.7000,162,reservoir
82.7000,258,reservoir
82.7000,412,reservoir
82.7000,508,reservoir
82.7000,599,reservoir
82.7000,621,reservoir
82.8000,353,reservoir
82.8000,360,reservoir
82.8000,435,reservoir
82.8000,466,input
82.8000,515,reservoir
82.8000,530,reservoir
82.9000,588,input
83.0000,314,reservoir
83.0000,334,reservoir
83.0000,706,reservoir
83.1000,158,reservoir
83.1000,457,input
83.2000,102,input
83.2000,391,reservoir
83.2000,517,input
83.3000,362,input
83.3000,491,reservoir
83.3000,531,reservoir
83.3000,724,input
83.4000,72,input
83.4000,607,reservoir
83.5000,480,reservoir
83.6000,96,input
83.6000,305,input
83.6000,355,input
83.6000,467,input
83.6000,470,input
83.6000,648,reservoir
83.7000,85,input
83.7000,325,input
83.7000,440,reservoir
83.8000,73,reservoir
83.8000,298,input
83.9000,257,reservoir
83.9000,403,input
84.0000,147,input
84.0000,329,reservoir
84.0000,468,reservoir
84.0000,722,input
84.1000,317,reservoir
84.1000,346,input
84.2000,180,reservoir
84.2000,208,reservoir
84.3000,62,input
84.3000,140,reservoir
84.3000,250,reservoir
84.3000,342,reservoir
84.3000,636,reservoir
84.4000,1,reservoir
84.4000,90,input
84.4000,220,reservoir
84.4000,228,reservoir
84.4000,363,input
84.4000,634,input
84.4000,685,input
84.5000,331,reservoir
84.5000,385,input
84.5000,681,reservoir
84.6000,20,input
84.6000,271,reservoir
84.6000,274,reservoir
84.6000,498,reservoir
84.6000,520,reservoir
84.6000,701,input
84.7000,112,reservoir
84.7000,175,reservoir
84.7000,244,reservoir
84.7000,409,reservoir
84.7000,579,input
84.8000,151,reservoir
84.8000,253,reservoir
84.8000,482,reservoir
84.8000,526,input
84.8000,552,reservoir
84.8000,553,input
84.8000,703,reservoir
84.9000,516,input
84.9000,687,reservoir
85.0000,398,input
85.0000,438,reservoir
85.0000,493,input
85.0000,568,reservoir
85.1000,22,reservoir
85.1000,75,reservoir
85.1000,160,input
85.2000,10,input
85.2000,285,input
85.3000,258,reservoir
85.3000,272,reservoir
85.3000,415,input
85.3000,502,input
85.3000,632,reservoir
85.4000,40,reservoir
85.4000,213,reservoir
85.4000,240,input
85.4000,347,reservoir
85.4000,564,reservoir
85.4000,695,reservoir
85.5000,98,input
85.5000,130,reservoir
85.5000,162,reservoir
85.5000,330,reservoir
85.5000,657,reservoir
85.6000,26,input
85.6000,68,reservoir
85.6000,676,reservoir
85.7000,57,reservoir
85.7000,293,input
85.7000,422,input
85.7000,608,input
85.7000,624,input
85.8000,88,reservoir
85.8000,308,input
85.9000,29,reservoir
85.9000,490,input
85.9000,714,reservoir
86.0000,349,input
86.0000,416,input
86.0000,477,input
86.0000,659,reservoir
86.1000,351,input
86.1000,607,reservoir
86.2000,287,input
86.2000,435,reservoir
86.2000,707,input
86.3000,9,reservoir
86.3000,319,reservoir
86.4000,24,reservoir
86.4000,407,reservoir
86.4000,530,reservoir
86.5000,23,input
86.5000,619,input
86.5000,621,reservoir
86.6000,144,input
86.6000,243,reservoir
86.6000,247,reservoir
86.6000,268,input
86.6000,360,reservoir
86.6000,643,reservoir
86.7000,159,input
86.7000,177,input
86.7000,289,input
86.7000,324,reservoir
86.8000,123,input
86.8000,170,input
86.8000,462,input
86.8000,648,reservoir
86.9000,342,reservoir
86.9000,388,input
86.9000,562,input
87.0000,420,reservoir
87.0000,446,input
87.1000,244,reservoir
87.2000,91,input
87.2000,158,reservoir
87.2000,250,reservoir
87.2000,253,reservoir
87.2000,316,reservoir
87.2000,475,reservoir
87.2000,523,reservoir
87.2000,649,reservoir
87.2000,699,reservoir
87.3000,64,reservoir
87.3000,233,reservoir
87.3000,329,reservoir
87.3000,531,reservoir
87.3000,681,reservoir
87.4000,84,input
87.4000,192,input
87.4000,460,reservoir
87.4000,506,reservoir
87.5000,18,input
87.5000,75,reservoir
87.5000,379,input
87.5000,602,input
87.6000,136,input
87.6000,174,reservoir
87.6000,265,input
87.6000,273,reservoir
87.6000,491,reservoir
87.7000,258,reservoir
87.7000,719,reservoir
87.8000,118,input
87.8000,241,reservoir
87.8000,290,input
87.8000,412,reservoir
87.8000,636,reservoir
88.0000,151,reservoir
88.0000,175,reservoir
88.0000,303,input
88.0000,480,reservoir
88.0000,706,reservoir
88.1000,331,reservoir
88.1000,572,reservoir
88.2000,58,input
88.2000,131,reservoir
88.2000,455,reservoir
88.2000,478,reservoir
88.3000,27,input
88.3000,300,reservoir
88.3000,500,reservoir
88.4000,213,reservoir
88.4000,218,input
88.4000,334,reservoir
88.4000,372,input
88.4000,431,reservoir
88.4000,492,reservoir
88.4000,498,reservoir
88.4000,509,input
88.5000,85,input
88.5000,395,input
88.5000,445,reservoir
88.5000,594,reservoir
88.6000,397,input
